Calcium Indicator,Opsin,Filename,FrameRate,Stimulation Description,Comments,Group,ForRoi
Gcamp6s,CoChR,FOV1_004,,,hd of square 1,,
,,FOV1_005,7.8,Euler Full Field Photoreceptors Stimulation,square 1,1,yes
,,FOV1_006_cut,7.8,Moving Bars in eight directions around the center of the FOV,square 1,2,yes
,,FOV1_007,,,hd of the square 2,,
,,FOV1_008,7.8,Euler Full Field Photoreceptors Stimulation,square 2,1,yes
,,FOV1_009_cut,7.8,Moving Bars in eight directions around the center of the FOV,square 2,2,yes
,,FOV1_010,,,hd square 3,,
,,FOV1_011,7.8,Euler Full Field Photoreceptors Stimulation,square 3,1,yes
,,FOV1_012,7.8,Moving Bars in eight directions around the center of the FOV,square 3,2,yes
,,FOV1_016,,,hd square 4,,
,,FOV1_019,7.8,Euler Full Field Photoreceptors Stimulation,square 4,1,yes
,,FOV1_020_cut,7.8,Moving Bars in eight directions around the center of the FOV,square 4,2,yes
