Calcium Indicator,Opsin,Filename,FrameRate,Stimulation Description,Comments,Group,ForRoi
Gcamp6s,CoChR,FOV1_002,,,hd of square 1,,
,,FOV1_004,7.8,Euler Full Field Photoreceptors Stimulation,square 1,1,yes
,,FOV1_007,7.8,Moving Bars in eight directions around the center of the FOV,square 1,2,yes
,,FOV1_008,,,hd of the square 2,,
,,FOV1_009,7.8,Euler Full Field Photoreceptors Stimulation,square 2,1,yes
,,FOV1_010,,,,,
,,FOV1_011,7.8,Moving Bars in eight directions around the center of the FOV,square 2,2,yes
,,FOV1_012,,,hd square 3,,
,,FOV1_013,7.8,Euler Full Field Photoreceptors Stimulation,square 3,1,yes
,,FOV1_014,7.8,Moving Bars in eight directions around the center of the FOV,square 3,2,yes
,,FOV1_015,,,hd square 4,,
,,FOV1_016,7.8,Euler Full Field Photoreceptors Stimulation,square 4,1,yes
,,FOV1_017,7.8,Moving Bars in eight directions around the center of the FOV,square 4,2,yes
